,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
0,HOMICÍDIO DOLOSO (2),55.0,34.0,45.0,...,...,...,...,...,...,...,...,...,134.0,2022,São Paulo,Capital
1,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),56.0,39.0,46.0,...,...,...,...,...,...,...,...,...,141.0,2022,São Paulo,Capital
2,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,São Paulo,Capital
3,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,São Paulo,Capital
4,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,27.0,21.0,41.0,...,...,...,...,...,...,...,...,...,89.0,2022,São Paulo,Capital
5,HOMICÍDIO CULPOSO OUTROS,1.0,4.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2022,São Paulo,Capital
6,TENTATIVA DE HOMICÍDIO,40.0,43.0,53.0,...,...,...,...,...,...,...,...,...,136.0,2022,São Paulo,Capital
7,LESÃO CORPORAL SEGUIDA DE MORTE,2.0,2.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,São Paulo,Capital
8,LESÃO CORPORAL DOLOSA,2.319,2.066,2.799,...,...,...,...,...,...,...,...,...,7.184,2022,São Paulo,Capital
9,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,670.0,610.0,829.0,...,...,...,...,...,...,...,...,...,2.109,2022,São Paulo,Capital
10,LESÃO CORPORAL CULPOSA - OUTRAS,42.0,76.0,106.0,...,...,...,...,...,...,...,...,...,224.0,2022,São Paulo,Capital
11,LATROCÍNIO,3.0,9.0,5.0,...,...,...,...,...,...,...,...,...,17.0,2022,São Paulo,Capital
12,Nº DE VÍTIMAS EM LATROCÍNIO,3.0,9.0,5.0,...,...,...,...,...,...,...,...,...,17.0,2022,São Paulo,Capital
13,TOTAL DE ESTUPRO (4),170.0,168.0,237.0,...,...,...,...,...,...,...,...,...,575.0,2022,São Paulo,Capital
14,ESTUPRO,50.0,49.0,59.0,...,...,...,...,...,...,...,...,...,158.0,2022,São Paulo,Capital
15,ESTUPRO DE VULNERÁVEL,120.0,119.0,178.0,...,...,...,...,...,...,...,...,...,417.0,2022,São Paulo,Capital
16,TOTAL DE ROUBO - OUTROS (1),11.846,10.617,12.191,...,...,...,...,...,...,...,...,...,34.654,2022,São Paulo,Capital
17,ROUBO - OUTROS,11.563,10.383,11.937,...,...,...,...,...,...,...,...,...,33.883,2022,São Paulo,Capital
18,ROUBO DE VEÍCULO,1.093,1.069,1.385,...,...,...,...,...,...,...,...,...,3.547,2022,São Paulo,Capital
19,ROUBO A BANCO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,São Paulo,Capital
20,ROUBO DE CARGA,282.0,234.0,254.0,...,...,...,...,...,...,...,...,...,770.0,2022,São Paulo,Capital
