Natureza,Mes,Ano,Regiao,Ocorrencias
HOMICÍDIO DOLOSO (2),Jan,2021,Araçatuba,10
HOMICÍDIO DOLOSO (2),Fev,2021,Araçatuba,6
HOMICÍDIO DOLOSO (2),Mar,2021,Araçatuba,5
HOMICÍDIO DOLOSO (2),Abr,2021,Araçatuba,3
HOMICÍDIO DOLOSO (2),Mai,2021,Araçatuba,8
HOMICÍDIO DOLOSO (2),Jun,2021,Araçatuba,6
HOMICÍDIO DOLOSO (2),Jul,2021,Araçatuba,4
HOMICÍDIO DOLOSO (2),Ago,2021,Araçatuba,8
HOMICÍDIO DOLOSO (2),Set,2021,Araçatuba,7
HOMICÍDIO DOLOSO (2),Out,2021,Araçatuba,8
HOMICÍDIO DOLOSO (2),Nov,2021,Araçatuba,13
HOMICÍDIO DOLOSO (2),Dez,2021,Araçatuba,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Jan,2021,Araçatuba,10
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Fev,2021,Araçatuba,6
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Mar,2021,Araçatuba,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Abr,2021,Araçatuba,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Mai,2021,Araçatuba,8
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Jun,2021,Araçatuba,6
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Jul,2021,Araçatuba,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Ago,2021,Araçatuba,11
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Set,2021,Araçatuba,7
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Out,2021,Araçatuba,8
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Nov,2021,Araçatuba,13
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Dez,2021,Araçatuba,5
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jan,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Fev,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Mar,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Abr,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Mai,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jun,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jul,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Ago,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Set,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Out,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nov,2021,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Dez,2021,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jan,2021,Araçatuba,0
